loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_bleu,eval_chrf,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
3.6512,2.0215015411376953,1.9e-07,0.023696682464454975,20,,,,,,,,,,,
3.7066,2.063643455505371,3.9e-07,0.04739336492890995,40,,,,,,,,,,,
3.6811,3.3777236938476562,5.900000000000001e-07,0.07109004739336493,60,,,,,,,,,,,
3.6963,2.068518877029419,7.900000000000001e-07,0.0947867298578199,80,,,,,,,,,,,
3.7257,3.548496723175049,9.9e-07,0.11848341232227488,100,,,,,,,,,,,
3.6837,3.9372684955596924,1.19e-06,0.14218009478672985,120,,,,,,,,,,,
3.6694,2.0524516105651855,1.3900000000000002e-06,0.16587677725118483,140,,,,,,,,,,,
3.7299,2.160250186920166,1.5900000000000002e-06,0.1895734597156398,160,,,,,,,,,,,
3.6966,2.042506694793701,1.79e-06,0.2132701421800948,180,,,,,,,,,,,
3.7057,2.092533826828003,1.9900000000000004e-06,0.23696682464454977,200,,,,,,,,,,,
3.6847,2.0758299827575684,2.19e-06,0.26066350710900477,220,,,,,,,,,,,
3.6934,2.1347129344940186,2.39e-06,0.2843601895734597,240,,,,,,,,,,,
3.6821,2.039592742919922,2.59e-06,0.3080568720379147,260,,,,,,,,,,,
3.7192,1.9998832941055298,2.7900000000000004e-06,0.33175355450236965,280,,,,,,,,,,,
3.6616,2.1417083740234375,2.99e-06,0.35545023696682465,300,,,,,,,,,,,
3.7056,2.1041057109832764,3.1900000000000004e-06,0.3791469194312796,320,,,,,,,,,,,
3.7086,2.123765468597412,3.3900000000000006e-06,0.4028436018957346,340,,,,,,,,,,,
3.6739,2.1190903186798096,3.5900000000000004e-06,0.4265402843601896,360,,,,,,,,,,,
3.6704,2.089040994644165,3.79e-06,0.45023696682464454,380,,,,,,,,,,,
3.6237,1.950604796409607,3.990000000000001e-06,0.47393364928909953,400,,,,,,,,,,,
3.6509,1.973850131034851,4.1900000000000005e-06,0.4976303317535545,420,,,,,,,,,,,
3.6235,2.103597402572632,4.39e-06,0.5213270142180095,440,,,,,,,,,,,
3.7114,2.154714822769165,4.590000000000001e-06,0.5450236966824644,460,,,,,,,,,,,
3.6526,2.0842442512512207,4.79e-06,0.5687203791469194,480,,,,,,,,,,,
3.7248,2.113041639328003,4.9900000000000005e-06,0.5924170616113744,500,,,,,,,,,,,
3.6926,2.1870429515838623,4.9744623655913985e-06,0.6161137440758294,520,,,,,,,,,,,
